f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
1.74753 0.000357529 -90.0006 0 0 3.97254e-005 89.9995 0.445697 4.05265e-006 0 0 1 0 0 180 0.00361797 180 3.57529e-009 89.9994 1.95751e-012 90 1.69127e-010 -90 1.32458e-010 90.0001 1.11424e-005 180 
1.78865 0.000365942 -90.0006 0 0 4.06602e-005 89.9995 0.445697 4.14802e-006 0 0 1 0 0 180 0.00361797 180 3.65942e-009 89.9994 2.00357e-012 90 1.73107e-010 -90 1.35575e-010 90.0001 1.11424e-005 180 
1.83074 0.000374553 -90.0007 0 0 4.1617e-005 89.9995 0.445697 4.24562e-006 0 0 1 0 0 180 0.00361797 180 3.74553e-009 89.9993 2.05072e-012 90 1.7718e-010 -90 1.38765e-010 90.0001 1.11424e-005 180 
1.87382 0.000383367 -90.0007 0 0 4.25963e-005 89.9994 0.445697 4.34553e-006 0 0 1 0 0 180 0.00361797 180 3.83367e-009 89.9993 2.09897e-012 90 1.81349e-010 -90 1.42031e-010 90.0001 1.11424e-005 180 
1.91791 0.000392388 -90.0007 0 0 4.35986e-005 89.9994 0.445697 4.44778e-006 0 0 1 0 0 180 0.00361797 180 3.92388e-009 89.9993 2.14837e-012 90 1.85617e-010 -90 1.45373e-010 90.0001 1.11424e-005 180 
1.96304 0.000401621 -90.0007 0 0 4.46245e-005 89.9994 0.445697 4.55244e-006 0 0 1 0 0 180 0.00361797 180 4.01621e-009 89.9993 2.19892e-012 90 1.89984e-010 -90 1.48794e-010 90.0001 1.11424e-005 180 
2.00923 0.000411071 -90.0007 0 0 4.56746e-005 89.9994 0.445697 4.65957e-006 0 0 1 0 0 180 0.00361797 180 4.11071e-009 89.9993 2.25066e-012 90 1.94455e-010 -90 1.52295e-010 90.0001 1.11424e-005 180 
2.05651 0.000420744 -90.0007 0 0 4.67494e-005 89.9994 0.445697 4.76921e-006 0 0 1 0 0 180 0.00361797 180 4.20744e-009 89.9993 2.30362e-012 90 1.99031e-010 -90 1.55878e-010 90.0001 1.11424e-005 180 
2.1049 0.000430645 -90.0008 0 0 4.78494e-005 89.9994 0.445697 4.88144e-006 0 0 1 0 0 180 0.00361797 180 4.30645e-009 89.9992 2.35783e-012 90 2.03714e-010 -90 1.59546e-010 90.0001 1.11424e-005 180 
2.15443 0.000440778 -90.0008 0 0 4.89754e-005 89.9994 0.445697 4.9963e-006 0 0 1 0 0 180 0.00361797 180 4.40778e-009 89.9992 2.41331e-012 90 2.08508e-010 -90 1.63301e-010 90.0001 1.11424e-005 180 
2.20513 0.00045115 -90.0008 0 0 5.01278e-005 89.9994 0.445697 5.11387e-006 0 0 1 0 0 180 0.00361797 180 4.5115e-009 89.9992 2.4701e-012 90 2.13414e-010 -90 1.67143e-010 90.0001 1.11424e-005 180 
2.25702 0.000461766 -90.0008 0 0 5.13074e-005 89.9993 0.445697 5.2342e-006 0 0 1 0 0 180 0.00361797 180 4.61766e-009 89.9992 2.52822e-012 90 2.18436e-010 -90 1.71076e-010 90.0001 1.11424e-005 180 
2.31013 0.000472632 -90.0008 0 0 5.25147e-005 89.9993 0.445697 5.35737e-006 0 0 1 0 0 180 0.00361797 180 4.72632e-009 89.9992 2.58771e-012 90 2.23576e-010 -90 1.75102e-010 90.0001 1.11424e-005 180 
2.36449 0.000483754 -90.0009 0 0 5.37504e-005 89.9993 0.445697 5.48343e-006 0 0 1 0 0 180 0.00361797 180 4.83754e-009 89.9991 2.64861e-012 90 2.28837e-010 -90 1.79222e-010 90.0001 1.11424e-005 180 
2.42013 0.000495137 -90.0009 0 0 5.50152e-005 89.9993 0.445697 5.61246e-006 0 0 1 0 0 180 0.00361797 180 4.95137e-009 89.9991 2.71093e-012 90 2.34222e-010 -90 1.8344e-010 90.0001 1.11424e-005 180 
2.47708 0.000506788 -90.0009 0 0 5.63098e-005 89.9993 0.445697 5.74453e-006 0 0 1 0 0 180 0.00361797 180 5.06788e-009 89.9991 2.77472e-012 90 2.39733e-010 -90 1.87756e-010 90.0001 1.11424e-005 180 
2.53536 0.000518713 -90.0009 0 0 5.76348e-005 89.9993 0.445697 5.87971e-006 0 0 1 0 0 180 0.00361797 180 5.18713e-009 89.9991 2.84001e-012 90 2.45374e-010 -90 1.92174e-010 90.0001 1.11424e-005 180 
2.59502 0.000530919 -90.0009 0 0 5.8991e-005 89.9992 0.445697 6.01806e-006 0 0 1 0 0 180 0.00361797 180 5.30919e-009 89.9991 2.90684e-012 90 2.51148e-010 -90 1.96696e-010 90.0001 1.11424e-005 180 
2.65609 0.000543412 -90.001 0 0 6.03791e-005 89.9992 0.445697 6.15967e-006 0 0 1 0 0 180 0.00361797 180 5.43412e-009 89.999 2.97524e-012 90 2.57058e-010 -90 2.01325e-010 90.0001 1.11424e-005 180 
2.71859 0.000556199 -90.001 0 0 6.17999e-005 89.9992 0.445697 6.30462e-006 0 0 1 0 0 180 0.00361797 180 5.56199e-009 89.999 3.04525e-012 90 2.63107e-010 -90 2.06062e-010 90.0001 1.11424e-005 180 
2.78256 0.000569287 -90.001 0 0 6.32541e-005 89.9992 0.445697 6.45297e-006 0 0 1 0 0 180 0.00361797 180 5.69287e-009 89.999 3.11691e-012 90 2.69298e-010 -90 2.10911e-010 90.0001 1.11424e-005 180 
2.84804 0.000582683 -90.001 0 0 6.47426e-005 89.9992 0.445697 6.60482e-006 0 0 1 0 0 180 0.00361797 180 5.82683e-009 89.999 3.19025e-012 90 2.75635e-010 -90 2.15874e-010 90.0001 1.11424e-005 180 
2.91505 0.000596394 -90.0011 0 0 6.6266e-005 89.9991 0.445697 6.76023e-006 0 0 1 0 0 180 0.00361797 180 5.96394e-009 89.9989 3.26532e-012 90 2.82121e-010 -90 2.20954e-010 90.0001 1.11424e-005 180 
2.98365 0.000610428 -90.0011 0 0 6.78253e-005 89.9991 0.445697 6.91931e-006 0 0 1 0 0 180 0.00361797 180 6.10428e-009 89.9989 3.34216e-012 90 2.88759e-010 -90 2.26153e-010 90.0001 1.11424e-005 180 
3.05386 0.000624792 -90.0011 0 0 6.94213e-005 89.9991 0.445697 7.08213e-006 0 0 1 0 0 180 0.00361797 180 6.24792e-009 89.9989 3.42081e-012 90 2.95554e-010 -90 2.31475e-010 90.0001 1.11424e-005 180 
3.12572 0.000639494 -90.0011 0 0 7.10549e-005 89.9991 0.445697 7.24878e-006 0 0 1 0 0 180 0.00361797 180 6.39494e-009 89.9989 3.5013e-012 90 3.02509e-010 -90 2.36921e-010 90.0001 1.11424e-005 180 
3.19927 0.000654542 -90.0012 0 0 7.27269e-005 89.9991 0.445697 7.41935e-006 0 0 1 0 0 180 0.00361797 180 6.54542e-009 89.9988 3.58369e-012 90 3.09627e-010 -90 2.42496e-010 90.0001 1.11424e-005 180 
3.27455 0.000669944 -90.0012 0 0 7.44382e-005 89.999 0.445697 7.59393e-006 0 0 1 0 0 180 0.00361797 180 6.69944e-009 89.9988 3.66802e-012 90 3.16913e-010 -90 2.48203e-010 90.0001 1.11424e-005 180 
3.3516 0.000685708 -90.0012 0 0 7.61898e-005 89.999 0.445697 7.77263e-006 0 0 1 0 0 180 0.00361797 180 6.85708e-009 89.9988 3.75433e-012 90 3.2437e-010 -90 2.54043e-010 90.0002 1.11424e-005 180 
3.43047 0.000701844 -90.0012 0 0 7.79826e-005 89.999 0.445697 7.95552e-006 0 0 1 0 0 180 0.00361797 180 7.01844e-009 89.9988 3.84267e-012 90 3.32003e-010 -90 2.60021e-010 90.0002 1.11424e-005 180 
3.51119 0.000718359 -90.0013 0 0 7.98177e-005 89.999 0.445697 8.14272e-006 0 0 1 0 0 180 0.00361797 180 7.18359e-009 89.9987 3.9331e-012 90 3.39816e-010 -90 2.66139e-010 90.0002 1.11424e-005 180 
3.59381 0.000735263 -90.0013 0 0 8.16958e-005 89.9989 0.445697 8.33433e-006 0 0 1 0 0 180 0.00361797 180 7.35263e-009 89.9987 4.02565e-012 90 3.47812e-010 -90 2.72402e-010 90.0002 1.11424e-005 180 
3.67838 0.000752564 -90.0013 0 0 8.36182e-005 89.9989 0.445697 8.53045e-006 0 0 1 0 0 180 0.00361797 180 7.52564e-009 89.9987 4.12037e-012 90 3.55996e-010 -90 2.78812e-010 90.0002 1.11424e-005 180 
3.76494 0.000770273 -90.0014 0 0 8.55859e-005 89.9989 0.445697 8.73118e-006 0 0 1 0 0 180 0.00361797 180 7.70273e-009 89.9986 4.21733e-012 90 3.64373e-010 -90 2.85373e-010 90.0002 1.11424e-005 180 
