f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f jV0500m jV0500f jV0800m jV0800f jV1000m jV1000f jV1400m jV1400f jV1500m jV1500f 
1.41747 0.484519 -179.998 0.999241 -3.0822e-006 0.00221824 0.00152372 0.781943 -1.54003e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.994 0.00175796 0.00197393 0.00173333 -179.998 0 0 0 0 2.78567e-015 90 5.02047e-018 -89.998 9.52603e-015 -90 6.71727e-017 -89.998 3.23972e-007 -180 
1.45083 0.484519 -179.998 0.999241 -3.15473e-006 0.00221824 0.00155958 0.781943 -1.57627e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.994 0.00175796 0.00202038 0.00173333 -179.998 0 0 0 0 2.85122e-015 90 5.13861e-018 -89.998 9.75019e-015 -90 6.87534e-017 -89.998 3.23972e-007 -180 
1.48497 0.484519 -179.998 0.999241 -3.22897e-006 0.00221824 0.00159628 0.781943 -1.61336e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.993 0.00175796 0.00206792 0.00173333 -179.998 0 0 0 0 2.91831e-015 90 5.25952e-018 -89.9979 9.97962e-015 -90 7.03712e-017 -89.9979 3.23972e-007 -180 
1.51991 0.484519 -179.998 0.999241 -3.30495e-006 0.00221824 0.00163384 0.781943 -1.65133e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.993 0.00175796 0.00211658 0.00173333 -179.998 0 0 0 0 2.98698e-015 90 5.38328e-018 -89.9979 1.02145e-014 -90 7.20271e-017 -89.9979 3.23972e-007 -180 
1.55568 0.484519 -179.998 0.999241 -3.38272e-006 0.00221824 0.00167228 0.781943 -1.69018e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.993 0.00175796 0.00216639 0.00173333 -179.998 0 0 0 0 3.05727e-015 90 5.50996e-018 -89.9978 1.04548e-014 -90 7.3722e-017 -89.9978 3.23972e-007 -180 
1.59228 0.484519 -179.998 0.999241 -3.46231e-006 0.00221824 0.00171164 0.781943 -1.72996e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.993 0.00175796 0.00221737 0.00173333 -179.998 0 0 0 0 3.12921e-015 90 5.63961e-018 -89.9978 1.07008e-014 -90 7.54567e-017 -89.9978 3.23972e-007 -180 
1.62975 0.484519 -179.998 0.999241 -3.54379e-006 0.00221824 0.00175191 0.781943 -1.77066e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.993 0.00175796 0.00226954 0.00173333 -179.998 0 0 0 0 3.20285e-015 90 5.77232e-018 -89.9977 1.09526e-014 -90 7.72323e-017 -89.9977 3.23972e-007 -180 
1.6681 0.484519 -179.998 0.999241 -3.62718e-006 0.00221824 0.00179314 0.781943 -1.81233e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.993 0.00175796 0.00232295 0.00173333 -179.998 0 0 0 0 3.27821e-015 90 5.90815e-018 -89.9977 1.12104e-014 -90 7.90497e-017 -89.9977 3.23972e-007 -180 
1.70735 0.484519 -179.998 0.999241 -3.71253e-006 0.00221824 0.00183533 0.781943 -1.85498e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.992 0.00175796 0.00237761 0.00173333 -179.998 0 0 0 0 3.35535e-015 90 6.04717e-018 -89.9976 1.14741e-014 -90 8.09098e-017 -89.9976 3.23972e-007 -180 
1.74753 0.484519 -179.998 0.999241 -3.79989e-006 0.00221824 0.00187852 0.781943 -1.89862e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.992 0.00175796 0.00243356 0.00173333 -179.998 0 0 0 0 3.43431e-015 90 6.18947e-018 -89.9976 1.17441e-014 -90 8.28137e-017 -89.9976 3.23972e-007 -180 
1.78865 0.484519 -179.998 0.999241 -3.8893e-006 0.00221824 0.00192272 0.781943 -1.9433e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.998 1 0 0.000533554 179.992 0.00175796 0.00249082 0.00173333 -179.998 0 0 0 0 3.51512e-015 90 6.33511e-018 -89.9975 1.20205e-014 -90 8.47624e-017 -89.9975 3.23972e-007 -180 
1.83074 0.484519 -179.997 0.999241 -3.98082e-006 0.00221824 0.00196796 0.781943 -1.98903e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.992 0.00175796 0.00254943 0.00173333 -179.997 0 0 0 0 3.59783e-015 90 6.48418e-018 -89.9974 1.23033e-014 -90 8.67569e-017 -89.9974 3.23972e-007 -180 
1.87382 0.484519 -179.997 0.999241 -4.07449e-006 0.00221824 0.00201427 0.781943 -2.03583e-006 0 0 0.00177155 -179.997 0.00140925 -179.997 0 0 0.002201 -179.998 1 0 0.000533554 179.992 0.00175796 0.00260942 0.00173333 -179.997 0 0 0 0 3.68249e-015 90 6.63676e-018 -89.9974 1.25929e-014 -90 8.87984e-017 -89.9974 3.23972e-007 -180 
