f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f 
12915.5 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-010 -90 0.00022 0.000162031 9.73806e-010 -90 0.0001005 0.000277587 9.73806e-010 -90 8.11505e-011 90 7.03304e-010 -90 0.00022 180 9.73806e-010 -90 0.0001005 180 9.73806e-010 -90 8.11505e-011 90 2.81322e-010 -90 0.00022 6.48123e-005 3.89522e-010 -90 0.0001005 0.000111035 3.89522e-010 -90 3.24602e-011 90 2.81322e-010 -90 0.00022 180 3.89522e-010 -90 0.0001005 180 3.89522e-010 -90 3.24602e-011 90 
16681 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-010 -90 0.00022 0.000209271 1.25772e-009 -90 0.0001005 0.000358517 1.25772e-009 -90 1.0481e-010 90 9.08352e-010 -90 0.00022 180 1.25772e-009 -90 0.0001005 180 1.25772e-009 -90 1.0481e-010 90 3.63341e-010 -90 0.00022 8.37083e-005 5.03087e-010 -90 0.0001005 0.000143407 5.03087e-010 -90 4.19239e-011 90 3.63341e-010 -90 0.00022 180 5.03087e-010 -90 0.0001005 180 5.03087e-010 -90 4.19239e-011 90 
21544.3 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-009 -90 0.00022 0.000270284 1.62441e-009 -90 0.0001005 0.000463043 1.62441e-009 -90 1.35367e-010 90 1.17318e-009 -90 0.00022 180 1.62441e-009 -90 0.0001005 180 1.62441e-009 -90 1.35367e-010 90 4.69273e-010 -90 0.00022 0.000108113 6.49762e-010 -90 0.0001005 0.000185217 6.49762e-010 -90 5.41468e-011 90 4.69273e-010 -90 0.00022 180 6.49762e-010 -90 0.0001005 180 6.49762e-010 -90 5.41468e-011 90 
27825.6 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-009 -90 0.00022 0.000349085 2.098e-009 -90 0.0001005 0.000598043 2.098e-009 -90 1.74833e-010 90 1.51522e-009 -90 0.00022 180 2.098e-009 -90 0.0001005 179.999 2.098e-009 -90 1.74833e-010 90 6.06089e-010 -90 0.00022 0.000139634 8.392e-010 -90 0.0001005 0.000239217 8.392e-010 -90 6.99333e-011 90 6.06089e-010 -90 0.00022 180 8.392e-010 -90 0.0001005 180 8.392e-010 -90 6.99333e-011 90 
35938.1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-009 -90 0.00022 0.00045086 2.70967e-009 -90 0.0001005 0.000772402 2.70967e-009 -90 2.25806e-010 90 1.95699e-009 -90 0.00022 180 2.70967e-009 -90 0.0001005 179.999 2.70967e-009 -90 2.25806e-010 90 7.82794e-010 -90 0.00022 0.000180344 1.08387e-009 -90 0.0001005 0.000308961 1.08387e-009 -90 9.03224e-011 90 7.82794e-010 -90 0.00022 180 1.08387e-009 -90 0.0001005 180 1.08387e-009 -90 9.03224e-011 90 
46415.9 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-009 -90 0.00022 0.000582308 3.49968e-009 -90 0.0001005 0.000997595 3.49968e-009 -90 2.9164e-010 90 2.52754e-009 -90 0.00022 180 3.49968e-009 -90 0.0001005 179.999 3.49968e-009 -90 2.9164e-010 90 1.01102e-009 -90 0.00022 0.000232923 1.39987e-009 -90 0.0001005 0.000399038 1.39987e-009 -90 1.16656e-010 90 1.01102e-009 -90 0.00022 180 1.39987e-009 -90 0.0001005 180 1.39987e-009 -90 1.16656e-010 90 
59948.4 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-009 -90 0.00022 0.00075208 4.52e-009 -90 0.0001005 0.00128844 4.52e-009 -90 3.76667e-010 90 3.26445e-009 -90 0.00022 180 4.52e-009 -90 0.0001005 179.999 4.52e-009 -90 3.76667e-010 90 1.30578e-009 -90 0.00022 0.000300832 1.808e-009 -90 0.0001005 0.000515378 1.808e-009 -90 1.50667e-010 90 1.30578e-009 -90 0.00022 180 1.808e-009 -90 0.0001005 179.999 1.808e-009 -90 1.50667e-010 90 
77426.4 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-009 -90 0.00022 0.000971349 5.83781e-009 -90 0.0001005 0.00166409 5.83781e-009 -90 4.86484e-010 90 4.2162e-009 -90 0.00022 180 5.83781e-009 -90 0.0001005 179.998 5.83781e-009 -90 4.86484e-010 90 1.68648e-009 -90 0.00022 0.00038854 2.33512e-009 -90 0.0001005 0.000665636 2.33512e-009 -90 1.94594e-010 90 1.68648e-009 -90 0.00022 180 2.33512e-009 -90 0.0001005 179.999 2.33512e-009 -90 1.94594e-010 90 
100000 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-009 -90 0.00022 0.00125455 7.53982e-009 -90 0.0001005 0.00214925 7.53982e-009 -90 6.28319e-010 90 5.44543e-009 -90 0.00022 180 7.53982e-009 -90 0.0001005 179.998 7.53982e-009 -90 6.28319e-010 90 2.17817e-009 -90 0.00022 0.000501818 3.01593e-009 -90 0.0001005 0.000859701 3.01593e-009 -90 2.51327e-010 90 2.17817e-009 -90 0.00022 180 3.01593e-009 -90 0.0001005 179.999 3.01593e-009 -90 2.51327e-010 90 
129155 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-009 -90 0.00022 0.00162031 9.73806e-009 -90 0.0001005 0.00277587 9.73806e-009 -90 8.11505e-010 90 7.03304e-009 -90 0.00022 180 9.73806e-009 -90 0.0001005 179.997 9.73806e-009 -90 8.11505e-010 90 2.81322e-009 -90 0.00022 0.000648123 3.89522e-009 -90 0.0001005 0.00111035 3.89522e-009 -90 3.24602e-010 90 2.81322e-009 -90 0.00022 180 3.89522e-009 -90 0.0001005 179.999 3.89522e-009 -90 3.24602e-010 90 
